Libros no cargados en ejemplares

'22', '0', 'El reino de este mundo', NULL, NULL, 'España', '7', 'Sin especificar', '9788420655505', NULL, NULL, NULL, NULL, NULL, NULL
'26', '0', 'Siete cuentos góticos', NULL, NULL, 'Sin especificar', '1999', '8481302090', '9788481302097', NULL, NULL, NULL, NULL, NULL, NULL
'27', '0', 'Encuentro en la rue laugier', NULL, NULL, 'Sin especificar', 'Sin especificar', '8482370316', '9788482370316', NULL, NULL, NULL, NULL, NULL, NULL
'28', '0', 'Yo soy Dios', NULL, NULL, 'Italia', '1 2010', 'Sin especificar', '9788466643351', NULL, NULL, NULL, NULL, NULL, NULL
'29', '0', 'El coronel no tiene quien le escriba', NULL, NULL, 'Colombia', '2002', '9588089425', '9789588089423', NULL, NULL, NULL, NULL, NULL, NULL
'32', '0', 'Ricardo y el dinosaurio rojo. Cuaderno de trabajo', NULL, NULL, 'España', 'Sin especificar', 'Sin especificar', '9788466763493', NULL, NULL, NULL, NULL, NULL, NULL
'33', '0', 'Morir bien', NULL, NULL, 'Colombia', 'Primera', '9584214004', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'34', '0', 'Historia de la farmacia', NULL, NULL, 'Francia', 'Primera', '2865420068', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'35', '0', 'Carne de res', NULL, NULL, 'Colombia', 'Primera', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'37', '0', 'Escuela de cocina', NULL, NULL, 'Colombia', 'Primera', '9589609198', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'38', '0', 'Los cristales', NULL, NULL, 'Sin especificar', 'Primera', '8478081518', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'39', '0', 'El hueco', NULL, NULL, 'Colombia', 'Octava', '9586142922', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'41', '0', 'El Hurakan', NULL, NULL, 'Colombia', 'Segunda', '958614352X', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'42', '0', 'Cuentos del fin de siglo', NULL, NULL, 'Colombia', 'Primera', '9586147452', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'43', '0', 'La llama doble', NULL, NULL, 'México', 'Novena reimpresión', '843220692X', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'44', '0', 'Cien años de soledad', NULL, NULL, 'Colombia', 'Décima', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'45', '0', 'Memoria de mis putas tristes', NULL, NULL, 'Colombia', 'Primera', '9580483620', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'46', '0', 'El coronel no tiene quien le escriba', NULL, NULL, 'Colombia', 'Primera', '843991198X', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'47', '0', 'La muerte de Giacomo Turra', NULL, NULL, 'Colombia', 'Primera', '9586146030', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'48', '0', 'La vaca', NULL, NULL, 'Colombia', 'Primera', '1607380226', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'49', '0', 'Doce cuentos peregrinos', NULL, NULL, 'Colombia', 'Primera', '9580476853', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'50', '0', 'El papa contra el diablo', NULL, NULL, 'Colombia', 'Primera', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'51', '0', 'Duelo en el paraíso', NULL, NULL, 'España', 'Sexta', '8423309967', '9789585816206', NULL, NULL, NULL, NULL, NULL, NULL
